issue_id,award_id,userid,issue_reason,issue_time
5359,180,24241,Reached lvl 100,1589233159
5360,180,54476,Reached lvl 100,1589233195
5361,180,21439,Reached lvl 100,1589233227
5362,180,26100,Reached lvl 100,1589233256
5363,180,43995,Reached lvl 100,1589233363
5364,180,53567,Reached lvl 100,1589233473
5369,180,72462,Reached lvl 100,1589233661
5370,180,62884,Reached lvl 100,1589233681
5372,180,49472,Reached lvl 100,1589233733
5373,180,72150,Reached lvl 100,1589233753
5380,180,53449,Reached lvl 100,1589233972
5382,180,21441,Reached lvl 100,1589234026
5383,180,27320,Reached lvl 100,1589234042
5389,180,44493,Reached lvl 100,1589235116
5395,180,23883,Reached lvl 100,1589235346
5399,180,32873,Reached lvl 100,1589235490
5401,180,34478,Reached lvl 100,1589235546
5420,180,73846,Reached lvl 100,1589236264
5421,180,55295,Reached lvl 100,1589236294
5423,180,33280,Reached lvl 100,1589236333
5426,180,59373,Reached lvl 100,1589236862
5429,180,29944,Reached lvl 100,1589236968
5430,180,32795,Reached lvl 100,1589236989
5435,180,38767,Reached lvl 100,1589237131
5438,180,50265,Reached lvl 100,1589237193
5443,180,8162,Reached lvl 100,1589237392
5456,18,27594,Cheers!! Here's to the next 5!,1589508100
5463,16,62669,Has passed away. Rewarded him with his contribution he has done for the WT division.,1589666220
5464,180,65194,Reached lvl 100,1589673605
5482,18,34936,5 years with AOD!,1590114988
5489,180,66775,Reached lvl 100,1590345543
5504,68,32542,"obtaining the NS Commander Helmet
Congratz!!",1590965769
5548,126,19955,For completing all available operations with a five star rating.,1592719686
5549,127,19955,Congrats you nutty collector!,1592719725
5562,18,29944,5 years!,1592881906
5564,18,32795,5 years!,1592881976
5568,18,35283,5 years!,1592882240
5571,180,53782,Reach level 100,1592956980
5704,68,45279,WarBoss with Commander Helmet,1593551052
5794,68,38820,NS Commander helmet,1594466673
5826,180,72649,Reached lvl 100,1594924440
5856,18,35500,Congratulations on your time spent here with AOD! Continue to be amazing! We wouldn't be here without you!,1595807474
5876,18,38570,Been here 5 years,1596684612
5924,18,36609,Grats on 5 Years DC!,1597522779
5958,19,10502,Congratulations! Thanks for being in the family for 10 years.,1597946115
5975,18,38326,5 years of service,1598123321
5978,139,48618,"",1598203198
5989,19,11137,"10 Big Years, YAY!",1598553705
5991,18,37184,cONGRATS ON 5,1598665099
6156,18,38288,5 years with AOD!,1600484690
6213,180,73963,Hit lvl 100 in-game,1602359894
6234,68,31456,Leadership Directive,1603163273
6235,68,39290,Leadership Directive,1603163331
6237,68,53801,Leadership Directive,1603163406
6239,76,78486,Winning the SoA competition,1603215342
6240,76,53567,Winning the SoA competition,1603215415
6242,76,56800,Winning the SoA competition,1603215526
6251,68,27594,Finally got commander helmet,1603678375
6252,5,27594,Finally got ASP access,1603678414
6264,5,30010,Reaching ASP in PS2,1604280681
6265,126,74148,For completing all available operations with a five star rating.,1604400086
6273,68,21842,"for leading the platoons, again",1604781400
6337,209,51475,"Your assistance with keeping our AOD assets is greatly appreciated. In view of your efforts, you are awarded our Bug Hunter badge!

Thank you!",1605468654
6359,211,30720,You successfully completed the Vanguard’s Dare of completing all seven raids in a single day.,1605732783
6360,210,30720,You successfully earned the title of Forerunner.,1605732852
6362,210,61984,You successfully earned the title of Forerunner.,1605822180
6363,211,61984,You successfully completed the Vanguard’s Dare of completing all seven raids in a single day.,1605822238
6364,211,61918,You successfully completed the Vanguard’s Dare of completing all seven raids in a single day.,1605822353
6393,180,76006,Reached lvl 100,1606337926
6394,71,3443,Former Tournament Winner,1606443556
6395,28,3438,"",1606443665
6397,210,40630,You successfully earned the title of Forerunner.,1606591353
6404,180,66112,Reached lvl 100,1606663076
6407,18,40361,5 Years with AOD!~,1606690963
6430,41,75419,Member of the Reaper Operation Group,1607807122
6433,41,34810,Member of the Reaper Operation Group,1607826840
6434,41,48920,Retired Reaper - Fly Safe,1607827140
6438,18,34138,5 years as an AOD Member!,1607926490
6439,68,74148,WarBoss with Commander Helmet,1608023081
6546,180,65366,"",1609039919
6547,180,77174,"",1609039941
6560,220,78418,"For completing Platoon Leadership 101,102, & 103.",1609289660
6566,41,29232,Retired Reaper,1609615920
6576,139,3510,15 years daaaayyuumm,1609963498
6601,18,14700,5 years with AOD!,1610834162
6606,5,41215,User has reached rank 100 and ASP''d character in PS2,1611026810
6607,18,41215,User has reached 5 years with AOD,1611026877
6654,18,36028,5 years of service.,1612500804
6656,18,34810,5 years of service.,1612500902
6658,210,47708,You successfully earned the title of Forerunner.,1612613998
6659,213,47708,You successfully earned the title of Conqueror.,1612614033
6670,180,77417,"",1613271517
6678,76,73846,Placed top 3 in the Super Race of Amazing Proportions.,1613871120
6685,18,42362,Congratulations on 5 years of service to AOD.,1613929032
6686,18,41037,Congratulations on 5 years of service to AOD.,1613929120
6688,18,39188,Congratulations on 5 years of service to AOD.,1613929420
6697,18,33819,5 years of service,1614133005
6698,180,78272,Reached lvl 100,1614220049
6702,180,70810,Reached Level 100 in-game,1614370931
6760,18,41224,5 year AOD Veteran!,1615235230
6765,41,74097,Member of the Reaper Operation Group,1615259940
6768,180,75819,Reached lvl 100,1615346206
6784,188,68677,"Member who has gone well above and beyond expectations be it recruiting, personal sacrifice, selfless service, time and/or effort.",1615834050
6786,18,43249,5 years of service.,1616038715
6787,126,78547,For completing all available operations with a five star rating.,1616075249
6811,180,58056,Reached lvl 100,1616940673
6813,210,27343,"",1616973198
6816,41,79127,Member of the Reaper Operation Group,1616975075
6826,180,78816,Reached lvl 100,1617294218
6831,18,60775,User has 5 years with AOD!,1617499004
6833,5,36028,Reached ASP,1617588713
